Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Absenteeism time in hours
26,7,3,1,289.0,36.0,13.0,33.0,239.554,97.0,0,1,2,1,0,1,90.0,172.0,4.0
0,7,3,1,118.0,13.0,18.0,50.0,239.554,97.0,1,1,1,1,0,0,98.0,178.0,0.0
23,7,4,1,179.0,51.0,18.0,38.0,239.554,97.0,0,1,0,1,0,0,89.0,170.0,2.0
7,7,5,1,279.0,5.0,14.0,39.0,239.554,97.0,0,1,2,1,1,0,68.0,168.0,4.0
23,7,5,1,289.0,36.0,13.0,33.0,239.554,97.0,0,1,2,1,0,1,90.0,172.0,2.0
23,7,6,1,179.0,51.0,18.0,38.0,239.554,97.0,0,1,0,1,0,0,89.0,170.0,2.0
22,7,6,1,361.0,52.0,3.0,28.0,239.554,97.0,0,1,1,1,0,4,80.0,172.0,8.0
23,7,6,1,260.0,50.0,11.0,36.0,239.554,97.0,0,1,4,1,0,0,65.0,168.0,4.0
19,7,2,1,155.0,12.0,14.0,34.0,239.554,97.0,0,1,2,1,0,0,95.0,196.0,40.0
22,7,2,1,235.0,11.0,14.0,37.0,239.554,97.0,0,3,1,0,0,1,88.0,172.0,8.0
1,7,2,1,260.0,50.0,11.0,36.0,239.554,97.0,0,1,4,1,0,0,65.0,168.0,8.0
1,7,3,1,260.0,50.0,11.0,36.0,239.554,97.0,0,1,4,1,0,0,65.0,168.0,8.0
11,7,4,1,260.0,50.0,11.0,36.0,239.554,97.0,0,1,4,1,0,0,65.0,168.0,8.0
11,7,4,1,179.0,51.0,18.0,38.0,239.554,97.0,0,1,0,1,0,0,89.0,170.0,1.0
23,7,4,1,179.0,51.0,18.0,38.0,239.554,97.0,0,1,0,1,0,0,89.0,170.0,4.0
14,7,6,1,246.0,25.0,16.0,41.0,239.554,97.0,0,1,0,1,0,0,67.0,170.0,8.0
21,7,2,1,179.0,51.0,18.0,38.0,239.554,97.0,0,1,0,1,0,0,89.0,170.0,8.0
11,7,5,1,189.0,29.0,13.0,33.0,239.554,97.0,0,1,2,0,0,2,69.0,167.0,8.0
23,8,4,1,248.0,25.0,14.0,47.0,205.917,92.0,0,1,2,0,0,1,86.0,165.0,2.0
10,8,4,1,330.0,16.0,4.0,28.0,205.917,92.0,0,2,0,0,0,0,84.0,182.0,8.0
11,8,2,1,179.0,51.0,18.0,38.0,205.917,92.0,0,1,0,1,0,0,89.0,170.0,1.0
13,8,2,1,361.0,52.0,3.0,28.0,205.917,92.0,0,1,1,1,0,4,80.0,172.0,40.0
28,8,6,1,260.0,50.0,11.0,36.0,205.917,92.0,0,1,4,1,0,0,65.0,168.0,4.0
18,8,2,1,289.0,36.0,13.0,33.0,205.917,92.0,0,1,2,1,0,1,90.0,172.0,8.0
25,8,2,1,361.0,52.0,3.0,28.0,205.917,92.0,0,1,1,1,0,4,80.0,172.0,7.0
23,8,3,1,289.0,36.0,13.0,33.0,205.917,92.0,0,1,2,1,0,1,90.0,172.0,1.0
28,8,4,1,157.0,27.0,6.0,29.0,205.917,92.0,0,1,0,1,1,0,75.0,185.0,4.0
18,8,4,1,289.0,36.0,13.0,33.0,205.917,92.0,0,1,2,1,0,1,90.0,172.0,8.0
23,8,6,1,179.0,51.0,18.0,38.0,205.917,92.0,0,1,0,1,0,0,89.0,170.0,2.0
18,8,2,1,179.0,51.0,18.0,38.0,205.917,92.0,0,1,0,1,0,0,89.0,170.0,8.0
18,8,5,1,235.0,29.0,12.0,48.0,205.917,92.0,0,1,1,0,1,5,88.0,163.0,8.0
23,8,5,1,235.0,11.0,14.0,37.0,205.917,92.0,0,3,1,0,0,1,88.0,172.0,4.0
18,8,2,1,235.0,29.0,12.0,48.0,205.917,92.0,0,1,1,0,1,5,88.0,163.0,8.0
23,8,2,1,179.0,51.0,18.0,38.0,205.917,92.0,0,1,0,1,0,0,89.0,170.0,2.0
23,8,2,1,361.0,52.0,3.0,28.0,205.917,92.0,0,1,1,1,0,4,80.0,172.0,1.0
24,8,3,1,289.0,36.0,13.0,33.0,205.917,92.0,0,1,2,1,0,1,90.0,172.0,8.0
11,8,5,1,291.0,50.0,12.0,32.0,205.917,92.0,0,1,0,1,0,0,65.0,169.0,4.0
28,8,6,1,235.0,29.0,12.0,48.0,205.917,92.0,0,1,1,0,1,5,88.0,163.0,8.0
23,8,6,1,260.0,50.0,11.0,36.0,205.917,92.0,0,1,4,1,0,0,65.0,168.0,4.0
23,9,3,1,184.0,42.0,7.0,27.0,241.476,92.0,0,1,0,0,0,0,58.0,167.0,2.0
23,9,2,1,118.0,10.0,10.0,37.0,241.476,92.0,0,1,0,0,0,0,83.0,172.0,4.0
23,9,3,1,179.0,51.0,18.0,38.0,241.476,92.0,0,1,0,1,0,0,89.0,170.0,4.0
19,9,3,1,235.0,20.0,13.0,43.0,241.476,92.0,0,1,1,1,0,0,106.0,167.0,8.0
23,9,4,1,155.0,12.0,14.0,34.0,241.476,92.0,0,1,2,1,0,0,95.0,196.0,2.0
23,9,2,1,118.0,10.0,10.0,37.0,241.476,92.0,0,1,0,0,0,0,83.0,172.0,3.0
23,9,3,1,179.0,51.0,18.0,38.0,241.476,92.0,0,1,0,1,0,0,89.0,170.0,3.0
23,9,5,1,291.0,31.0,12.0,40.0,241.476,92.0,0,1,1,1,0,1,73.0,171.0,4.0
22,9,6,1,260.0,50.0,11.0,36.0,241.476,92.0,0,1,4,1,0,0,65.0,168.0,8.0
14,9,2,4,291.0,31.0,12.0,40.0,241.476,92.0,0,1,1,1,0,1,73.0,171.0,32.0
0,9,2,4,260.0,50.0,11.0,36.0,241.476,92.0,1,1,4,1,0,0,65.0,168.0,0.0
0,9,2,4,225.0,26.0,9.0,28.0,241.476,92.0,1,1,1,0,0,2,69.0,169.0,0.0
23,9,3,4,225.0,26.0,9.0,28.0,241.476,92.0,0,1,1,0,0,2,69.0,169.0,2.0
23,9,3,4,118.0,10.0,10.0,37.0,241.476,92.0,0,1,0,0,0,0,83.0,172.0,2.0
0,9,3,4,289.0,36.0,13.0,33.0,241.476,92.0,1,1,2,1,0,1,90.0,172.0,0.0
0,9,3,4,118.0,13.0,18.0,50.0,241.476,92.0,1,1,1,1,0,0,98.0,178.0,0.0
18,9,4,4,225.0,26.0,9.0,28.0,241.476,92.0,0,1,1,0,0,2,69.0,169.0,3.0
23,9,4,4,179.0,51.0,18.0,38.0,241.476,92.0,0,1,0,1,0,0,89.0,170.0,3.0
0,9,4,4,369.0,17.0,12.0,31.0,241.476,92.0,1,1,3,1,0,0,70.0,169.0,0.0
23,9,6,4,248.0,25.0,14.0,47.0,241.476,92.0,0,1,2,0,0,1,86.0,165.0,1.0
23,9,6,4,179.0,51.0,18.0,38.0,241.476,92.0,0,1,0,1,0,0,89.0,170.0,3.0
23,9,6,4,260.0,50.0,11.0,36.0,241.476,92.0,0,1,4,1,0,0,65.0,168.0,4.0
23,10,3,4,179.0,51.0,18.0,38.0,253.465,93.0,0,1,0,1,0,0,89.0,170.0,3.0
23,10,3,4,118.0,10.0,10.0,37.0,253.465,93.0,0,1,0,0,0,0,83.0,172.0,3.0
0,10,4,4,118.0,13.0,18.0,50.0,253.465,93.0,1,1,1,1,0,0,98.0,178.0,0.0
23,10,5,4,179.0,26.0,9.0,30.0,253.465,93.0,0,3,0,0,0,0,56.0,171.0,1.0
23,10,6,4,179.0,51.0,18.0,38.0,253.465,93.0,0,1,0,1,0,0,89.0,170.0,3.0
23,10,6,4,225.0,26.0,9.0,28.0,253.465,93.0,0,1,1,0,0,2,69.0,169.0,3.0
23,10,4,4,225.0,26.0,9.0,28.0,253.465,93.0,0,1,1,0,0,2,69.0,169.0,2.0
23,10,4,4,248.0,25.0,14.0,47.0,253.465,93.0,0,1,2,0,0,1,86.0,165.0,2.0
23,10,5,4,291.0,31.0,12.0,40.0,253.465,93.0,0,1,1,1,0,1,73.0,171.0,5.0
23,10,4,4,179.0,51.0,18.0,38.0,253.465,93.0,0,1,0,1,0,0,89.0,170.0,8.0
23,10,4,4,225.0,26.0,9.0,28.0,253.465,93.0,0,1,1,0,0,2,69.0,169.0,3.0
19,10,5,4,260.0,50.0,11.0,36.0,253.465,93.0,0,1,4,1,0,0,65.0,168.0,16.0
14,10,3,4,291.0,31.0,12.0,40.0,253.465,93.0,0,1,1,1,0,1,73.0,171.0,8.0
28,10,3,4,225.0,26.0,9.0,28.0,253.465,93.0,0,1,1,0,0,2,69.0,169.0,2.0
26,10,4,4,289.0,36.0,13.0,33.0,253.465,93.0,0,1,2,1,0,1,90.0,172.0,8.0
23,10,6,4,361.0,52.0,3.0,28.0,253.465,93.0,0,1,1,1,0,4,80.0,172.0,1.0
28,10,6,4,260.0,50.0,11.0,36.0,253.465,93.0,0,1,4,1,0,0,65.0,168.0,3.0
23,11,5,4,179.0,51.0,18.0,38.0,306.345,93.0,0,1,0,1,0,0,89.0,170.0,1.0
23,11,4,4,225.0,26.0,9.0,28.0,306.345,93.0,0,1,1,0,0,2,69.0,169.0,1.0
13,11,5,4,179.0,51.0,18.0,38.0,306.345,93.0,0,1,0,1,0,0,89.0,170.0,8.0
21,11,5,4,179.0,22.0,17.0,40.0,306.345,93.0,0,2,2,0,1,0,63.0,170.0,8.0
23,11,5,4,291.0,31.0,12.0,40.0,306.345,93.0,0,1,1,1,0,1,73.0,171.0,5.0
10,11,2,4,155.0,12.0,14.0,34.0,306.345,93.0,0,1,2,1,0,0,95.0,196.0,32.0
22,11,2,4,189.0,29.0,13.0,33.0,306.345,93.0,0,1,2,0,0,2,69.0,167.0,8.0
14,11,2,4,291.0,31.0,12.0,40.0,306.345,93.0,0,1,1,1,0,1,73.0,171.0,40.0
6,11,6,4,155.0,12.0,14.0,34.0,306.345,93.0,0,1,2,1,0,0,95.0,196.0,8.0
23,11,4,4,225.0,26.0,9.0,28.0,306.345,93.0,0,1,1,0,0,2,69.0,169.0,3.0
21,11,4,4,179.0,22.0,17.0,40.0,306.345,93.0,0,2,2,0,1,0,63.0,170.0,8.0
13,11,6,4,225.0,26.0,9.0,28.0,306.345,93.0,0,1,1,0,0,2,69.0,169.0,3.0
28,11,6,4,260.0,50.0,11.0,36.0,306.345,93.0,0,1,4,1,0,0,65.0,168.0,4.0
28,11,2,4,248.0,25.0,14.0,47.0,306.345,93.0,0,1,2,0,0,1,86.0,165.0,1.0
28,11,3,4,225.0,26.0,9.0,28.0,306.345,93.0,0,1,1,0,0,2,69.0,169.0,3.0
7,11,4,4,289.0,36.0,13.0,33.0,306.345,93.0,0,1,2,1,0,1,90.0,172.0,24.0
23,11,5,4,291.0,31.0,12.0,40.0,306.345,93.0,0,1,1,1,0,1,73.0,171.0,3.0
23,12,3,4,248.0,25.0,14.0,47.0,261.306,97.0,0,1,2,0,0,1,86.0,165.0,1.0
19,12,3,4,118.0,10.0,10.0,37.0,261.306,97.0,0,1,0,0,0,0,83.0,172.0,63.99999999999999
23,12,4,4,118.0,13.0,18.0,50.0,261.306,97.0,0,1,1,1,0,0,98.0,178.0,2.0
26,12,4,4,235.0,11.0,14.0,37.0,261.306,97.0,0,3,1,0,0,1,88.0,172.0,8.0
23,12,5,4,225.0,26.0,9.0,28.0,261.306,97.0,0,1,1,0,0,2,69.0,169.0,2.0
26,12,6,4,260.0,50.0,11.0,36.0,261.306,97.0,0,1,4,1,0,0,65.0,168.0,8.0
19,12,3,4,118.0,10.0,10.0,37.0,261.306,97.0,0,1,0,0,0,0,83.0,172.0,56.0
22,12,4,4,361.0,52.0,3.0,28.0,261.306,97.0,0,1,1,1,0,4,80.0,172.0,8.0
28,12,5,4,225.0,26.0,9.0,28.0,261.306,97.0,0,1,1,0,0,2,69.0,169.0,3.0
28,12,6,4,260.0,50.0,11.0,36.0,261.306,97.0,0,1,4,1,0,0,65.0,168.0,3.0
23,12,3,4,225.0,26.0,9.0,28.0,261.306,97.0,0,1,1,0,0,2,69.0,169.0,2.0
27,12,6,4,118.0,10.0,10.0,37.0,261.306,97.0,0,1,0,0,0,0,83.0,172.0,2.0
19,12,6,2,246.0,25.0,16.0,41.0,261.306,97.0,0,1,0,1,0,0,67.0,170.0,8.0
23,12,6,2,225.0,26.0,9.0,28.0,261.306,97.0,0,1,1,0,0,2,69.0,169.0,2.0
23,1,4,2,225.0,26.0,9.0,28.0,308.593,95.0,0,1,1,0,0,2,69.0,169.0,1.0
19,1,2,2,118.0,10.0,10.0,37.0,308.593,95.0,0,1,0,0,0,0,83.0,172.0,1.0
27,1,3,2,118.0,10.0,10.0,37.0,308.593,95.0,0,1,0,0,0,0,83.0,172.0,1.0
18,1,3,2,155.0,12.0,14.0,34.0,308.593,95.0,0,1,2,1,0,0,95.0,196.0,8.0
27,1,4,2,225.0,26.0,9.0,28.0,308.593,95.0,0,1,1,0,0,2,69.0,169.0,2.0
23,1,5,2,184.0,42.0,7.0,27.0,308.593,95.0,0,1,0,0,0,0,58.0,167.0,2.0
28,1,5,2,225.0,26.0,9.0,28.0,308.593,95.0,0,1,1,0,0,2,69.0,169.0,2.0
27,1,6,2,225.0,26.0,9.0,28.0,308.593,95.0,0,1,1,0,0,2,69.0,169.0,1.0
