Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Absenteeism time in hours
26,7,3,1,0.981811671337533,0.4560723645540043,0.11546563218605144,-0.5303985396597162,-0.8251408482787961,0.6450245853842835,0,1,2,1,0,1,0.8553646499248004,-0.032905728213552365,-0.23113316725176802
0,7,3,1,-1.5610999358429143,-1.1089536404392166,1.2603917041432464,2.0615571903874805,-0.8251408482787961,0.6450245853842835,1,1,1,1,0,0,1.4777686106018517,0.9418401788675659,-0.5252837144888085
23,7,4,1,-0.6539794210007663,1.4767414982452354,1.2603917041432464,0.23194138094240055,-0.8251408482787961,0.6450245853842835,0,1,0,1,0,0,0.7775641548401689,-0.3578210305739251,-0.37820844087028826
7,7,5,1,0.8331033902158694,-1.6533105117412064,0.3444508465774904,0.3844093650628239,-0.8251408482787961,0.6450245853842835,0,1,2,1,1,0,-0.8562462419370909,-0.6827363329342978,-0.23113316725176802
23,7,5,1,0.981811671337533,0.4560723645540043,0.11546563218605144,-0.5303985396597162,-0.8251408482787961,0.6450245853842835,0,1,2,1,0,1,0.8553646499248004,-0.032905728213552365,-0.37820844087028826
23,7,6,1,-0.6539794210007663,1.4767414982452354,1.2603917041432464,0.23194138094240055,-0.8251408482787961,0.6450245853842835,0,1,0,1,0,0,0.7775641548401689,-0.3578210305739251,-0.37820844087028826
22,7,6,1,2.0525112954135105,1.544786107157984,-2.1743865117283385,-1.2927384602618328,-0.8251408482787961,0.6450245853842835,0,1,1,1,0,4,0.07735969907848618,-0.032905728213552365,0.06301737998527247
23,7,6,1,0.5505576560847086,1.4086968893324865,-0.34250479659682653,-0.07299458729844611,-0.8251408482787961,0.6450245853842835,0,1,4,1,0,0,-1.0896477271909852,-0.6827363329342978,-0.23113316725176802
19,7,2,1,-1.010879295692759,-1.1769982493519653,0.3444508465774904,-0.3779305555392928,-0.8251408482787961,0.6450245853842835,0,1,2,1,0,0,1.2443671253479576,3.8660779001109202,2.4162217578815963
22,7,2,1,0.17878695328054967,-1.245042858264714,0.3444508465774904,0.07947339682197722,-0.8251408482787961,0.6450245853842835,0,3,1,0,0,1,0.6997636597555376,-0.032905728213552365,0.06301737998527247
1,7,2,1,0.5505576560847086,1.4086968893324865,-0.34250479659682653,-0.07299458729844611,-0.8251408482787961,0.6450245853842835,0,1,4,1,0,0,-1.0896477271909852,-0.6827363329342978,0.06301737998527247
1,7,3,1,0.5505576560847086,1.4086968893324865,-0.34250479659682653,-0.07299458729844611,-0.8251408482787961,0.6450245853842835,0,1,4,1,0,0,-1.0896477271909852,-0.6827363329342978,0.06301737998527247
11,7,4,1,0.5505576560847086,1.4086968893324865,-0.34250479659682653,-0.07299458729844611,-0.8251408482787961,0.6450245853842835,0,1,4,1,0,0,-1.0896477271909852,-0.6827363329342978,0.06301737998527247
11,7,4,1,-0.6539794210007663,1.4767414982452354,1.2603917041432464,0.23194138094240055,-0.8251408482787961,0.6450245853842835,0,1,0,1,0,0,0.7775641548401689,-0.3578210305739251,-0.4517460776795484
